file_name,bitcrusher,vibrato_intensity,vibrato_frequency,pulse_width,oscillator_shape_sine,oscillator_shape_triangle,oscillator_shape_square,oscillator_shape_sawtooth,lfo_shape_sine,lfo_shape_triangle,lfo_shape_square,lfo_shape_sawtooth,attack,decay,sustain,release,monophonic,disable_velocity,volume,bypass
0.wav,0.0,0.0,4.0,-100.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
1.wav,0.0,0.0,4.0,-100.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
2.wav,0.0,0.0,4.0,-100.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
3.wav,0.0,0.0,4.0,-100.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
4.wav,0.0,0.0,4.0,-100.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
5.wav,0.0,0.0,4.0,-100.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
6.wav,0.0,0.0,4.0,-100.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
7.wav,0.0,0.0,4.0,-100.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
8.wav,0.0,0.0,4.0,-100.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
9.wav,0.0,0.0,4.0,-100.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
10.wav,0.0,0.0,4.0,-100.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
11.wav,0.0,0.0,4.0,-100.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
12.wav,0.0,0.0,4.0,-100.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
13.wav,0.0,0.0,4.0,-100.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
14.wav,0.0,0.0,4.0,-100.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
15.wav,0.0,0.0,4.0,-100.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
16.wav,0.0,0.0,4.0,-50.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
17.wav,0.0,0.0,4.0,-50.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
18.wav,0.0,0.0,4.0,-50.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
19.wav,0.0,0.0,4.0,-50.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
20.wav,0.0,0.0,4.0,-50.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
21.wav,0.0,0.0,4.0,-50.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
22.wav,0.0,0.0,4.0,-50.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
23.wav,0.0,0.0,4.0,-50.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
24.wav,0.0,0.0,4.0,-50.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
25.wav,0.0,0.0,4.0,-50.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
26.wav,0.0,0.0,4.0,-50.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
27.wav,0.0,0.0,4.0,-50.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
28.wav,0.0,0.0,4.0,-50.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
